net,length_um
_0222_,5.955
_0345_,5.94
_0449_,5.94
_0484_,5.94
_0057_,5.84
_0095_,5.84
_0295_,5.84
_0473_,5.84
_0509_,5.82
_0251_,5.8
_0451_,5.74
_0171_,5.73
_0249_,5.72
_0284_,5.72
_0446_,5.72
net12,5.72
_0151_,5.68
_0428_,5.68
_0494_,5.68
result[7],5.65
net23,5.62
_0168_,5.6
_0431_,5.6
_0144_,5.58
result[12],5.53
result[6],5.53
_0225_,5.48
net19,5.44
_0203_,5.4
_0257_,5.4
net29,5.4
_0054_,5.34
_0110_,5.34
result[10],5.31
result[8],5.31
_0273_,5.28
_0392_,5.28
_0466_,5.28
net9,5.28
_0202_,5.26
_0348_,5.26
_0514_,5.26
_0316_,5.23
_0153_,5.22
_0489_,5.22
_0343_,5.16
_0429_,5.16
net7,5.1
net20,5.1
_0229_,5.06
_0004_,5.045
_0357_,4.94
_0058_,4.92
_0073_,4.92
_0001_,4.885
_0079_,4.88
result[0],4.85
_0170_,4.81
_0369_,4.8
net34,4.8
_0021_,4.755
_0363_,4.7
_0398_,4.7
net13,4.68
_0219_,4.615
_0314_,4.56
_0323_,4.5
_0133_,4.48
_0163_,4.46
_0293_,4.46
_0359_,4.46
_0422_,4.46
_0050_,4.44
_0108_,4.44
_0457_,4.44
_0406_,4.42
_0437_,4.4
_0045_,4.38
_0172_,4.36
_0315_,4.36
_0475_,4.36
_0129_,4.34
_0485_,4.34
_0031_,4.325
_0464_,4.24
_0136_,4.22
_0241_,4.22
_0355_,4.02
_0482_,4.02
_0083_,4
_0245_,4
_0384_,4
_0508_,3.98
_0047_,3.965
_0155_,3.9
_0223_,3.9
_0230_,3.9
_0255_,3.9
_0213_,3.88
_0418_,3.88
_0481_,3.88
_0015_,3.805
_0256_,3.8
_0030_,3.78
_0158_,3.76
_0121_,3.71
_0353_,3.68
_0497_,3.64
_0248_,3.56
_0289_,3.56
_0338_,3.56
_0365_,3.56
_0367_,3.56
_0419_,3.56
_0061_,3.54
_0339_,3.54
net37,3.54
_0025_,3.465
_0088_,3.42
_0279_,3.42
_0385_,3.42
_0469_,3.42
_0032_,3.405
_0023_,3.345
_0017_,3.32
_0036_,3.32
_0465_,3.3
_0022_,3.245
net27,3.22
_0336_,3.2
_0390_,3.1
_0408_,3.1
_0071_,3.08
_0078_,3.08
_0080_,3.08
_0292_,3.08
_0361_,3.08
_0487_,3.08
net35,3.08
_0026_,3.005
_0120_,2.98
_0410_,2.98
_0266_,2.96
_0278_,2.96
_0483_,2.96
_0034_,2.86
_0043_,2.86
_0195_,2.86
_0187_,2.84
_0290_,2.84
_0006_,2.785
net36,2.76
_0470_,2.74
net31,2.74
_0105_,2.64
_0184_,2.64
_0186_,2.64
_0322_,2.64
_0264_,2.62
_0277_,2.62
_0312_,2.62
_0324_,2.62
_0414_,2.62
_0443_,2.62
_0003_,2.545
_0009_,2.545
_0010_,2.545
_0039_,2.54
_0510_,2.52
_0237_,2.5
_0268_,2.5
_0352_,2.5
_0499_,2.5
_0501_,2.5
_0008_,2.485
_0011_,2.485
_0013_,2.42
_0038_,2.42
_0005_,2.325
_0007_,2.325
_0206_,2.3
_0456_,2.3
_0458_,2.3
_0344_,2.18
_0371_,2.18
_0373_,2.18
_0460_,2.18
_0116_,2.16
_0194_,2.16
_0246_,2.16
_0383_,2.16
_0412_,2.16
_0427_,2.16
net25,2.16
_0037_,2.145
_0041_,2.145
_0046_,2.145
_0000_,2.125
_0018_,2.125
_0002_,2.085
_0065_,2.06
_0069_,2.06
_0076_,2.06
_0097_,2.06
_0146_,2.06
_0332_,2.06
_0375_,2.06
_0471_,2.06
_0072_,2.04
_0320_,2.04
_0411_,2.04
_0492_,2.04
